"entity_id","type","value","id"
"001","languages","Spanish",""
"002","languages","Arabic",""
"002","languages","Chinese",""
"002","languages","French",""
"002","languages","German",""
"002","languages","Hindi",""
"002","languages","Italian",""
"002","languages","Japanese",""
"002","languages","Latin",""
"002","languages","Spanish",""
"003","languages","French",""
"003","languages","Spanish",""
"004","languages","Spanish",""
"006","languages","Spanish",""
"007","languages","Languages Not Offered",""
"008","languages","Arabic",""
"008","languages","Chinese",""
"008","languages","French",""
"008","languages","Spanish",""
"009","languages","Spanish",""
"010","languages","Spanish",""
"011","languages","Spanish",""
"012","languages","Chinese",""
"012","languages","French",""
"012","languages","German",""
"012","languages","Spanish",""
"013","languages","Languages Not Offered",""
"014","languages","Languages Not Offered",""
"015","languages","French",""
"015","languages","Spanish",""
"016","languages","Spanish",""
"017","languages","French",""
"017","languages","Spanish",""
"018","languages","Spanish",""
"019","languages","Languages Not Offered",""
"020","languages","Spanish",""
"023","languages","Spanish",""
"024","languages","Spanish",""
"025","languages","French",""
"025","languages","Spanish",""
"026","languages","French",""
"026","languages","Spanish",""
"027","languages","Spanish",""
"034","languages","Languages Not Offered",""
"036","languages","American Sign Language",""
"036","languages","French",""
"036","languages","Spanish",""
"039","languages","Chinese",""
"039","languages","French",""
"039","languages","Spanish",""
"041","languages","Languages Not Offered",""
"042","languages","Spanish",""
"043","languages","Spanish",""
"044","languages","Chinese",""
"045","languages","Languages Not Offered",""
"046","languages","Languages Not Offered",""
"047","languages","Languages Not Offered",""
"048","languages","Languages Not Offered",""
"049","languages","Spanish",""
"050","languages","Languages Not Offered",""
"051","languages","Spanish",""
"052","languages","Languages Not Offered",""
"053","languages","French",""
"053","languages","German",""
"053","languages","Spanish",""
"054","languages","Languages Not Offered",""
"055","languages","Spanish",""
"056","languages","Languages Not Offered",""
"057","languages","Chinese",""
"057","languages","French",""
"057","languages","Spanish",""
"058","languages","Languages Not Offered",""
"059","languages","Spanish",""
"060","languages","French",""
"061","languages","Spanish",""
"062","languages","Languages Not Offered",""
"064","languages","Languages Not Offered",""
"068","languages","Spanish",""
"069","languages","Languages Not Offered",""
"071","languages","Languages Not Offered",""
"072","languages","Languages Not Offered",""
"075","languages","Spanish",""
"077","languages","Spanish",""
"078","languages","Languages Not Offered",""
"079","languages","Languages Not Offered",""
"080","languages","Languages Not Offered",""
"081","languages","Chinese",""
"081","languages","French",""
"081","languages","Japanese",""
"081","languages","Spanish",""
"082","languages","Languages Not Offered",""
"097","languages","Languages Not Offered",""
"098","languages","Spanish",""
"099","languages","Spanish",""
"100","languages","American Sign Language",""
"100","languages","French",""
"100","languages","German",""
"100","languages","Spanish",""
"102","languages","Languages Not Offered",""
"104","languages","Languages Not Offered",""
"105","languages","Spanish",""
"106","languages","Languages Not Offered",""
"107","languages","Spanish",""
"108","languages","Languages Not Offered",""
"109","languages","Languages Not Offered",""
"110","languages","Languages Not Offered",""
