Finished,ResponseId,job_title,campus_1,campus_2,campus_3,before_sch_start,before_sch_end,sch_start,sch_end,after_sch_start,after_sch_end,before_aftercare_1,before_aftercare_2,pk4_english,pk4_bilingual,pk3,head_start,ecse,dual_lang,mag_buckets_1,mag_buckets_2,mag_buckets_3,mag_buckets_4,mag_buckets_5,mag_buckets_6,mag_buckets_7,mag_buckets_8,mag_buckets_9,mag_buckets_10,mag_buckets_11,mag_buckets_12,mag_themes_1_1,mag_themes_1_2,mag_themes_1_3,mag_themes_1_4,mag_themes_1_5,mag_themes_1_6,mag_themes_1_7,mag_themes_1_8,mag_themes_1_9,mag_themes_1_10,mag_themes_1_11,mag_themes_1_12,mag_themes_1_13,mag_themes_1_14,mag_themes_1_15,mag_themes_1_16,mag_themes_1_17,mag_themes_1_18,mag_themes_1_19,mag_themes_1_20,mag_themes_1_21,mag_themes_1_22,mag_themes_1_23,mag_themes_1_24,mag_themes_1_25,mag_themes_1_26,mag_themes_2_1,mag_themes_2_2,mag_themes_2_3,mag_themes_2_4,mag_themes_2_5,mag_themes_2_6,mag_themes_2_7,mag_themes_2_8,mag_themes_2_9,mag_themes_2_10,mag_themes_2_11,mag_themes_2_12,mag_themes_2_13,mag_themes_2_14,mag_themes_2_15,mag_themes_2_16,mag_themes_2_17,mag_themes_2_18,mag_themes_2_19,mag_themes_2_20,mag_themes_2_21,mag_themes_2_22,mag_themes_2_23,mag_themes_2_24,mag_themes_2_25,mag_themes_2_26,languages_1,languages_2,languages_3,languages_4,languages_5,languages_6,languages_7,languages_8,languages_9,languages_10,languages_11,languages_12,languages_13,languages_14,fine_arts_n_uil_1,fine_arts_n_uil_2,fine_arts_n_uil_3,fine_arts_n_uil_4,fine_arts_n_uil_5,fine_arts_n_uil_6,fine_arts_n_uil_7,fine_arts_n_uil_8,fine_arts_n_uil_9,fine_arts_n_uil_10,fine_arts_n_uil_11,fine_arts_n_uil_12,fine_arts_n_uil_13,concert_sight_read,marching_band,mariachi,medium_ensem,solo_ensem,speech_debate,tech_theatre,theatre,wind_ensem,baseball,basketball,cheer_drill,cross_country,football,golf,soccer,softball,swim,team_tennis,tennis,track,volley,water_polo,wrestling,archery,bowling,capoiera,disc_golf,flag_football,fun_fit,gymnastics,karate,lacrosse,running,squash,strength,yoga,club_time,clubs_1_1,clubs_1_2,clubs_1_3,clubs_1_4,clubs_1_5,clubs_1_6,clubs_1_7,clubs_1_8,clubs_1_9,clubs_1_10,clubs_1_11,clubs_1_12,clubs_1_13,clubs_1_14,clubs_1_15,clubs_1_16,clubs_1_17,clubs_1_18,clubs_1_19,clubs_1_20,clubs_2_1,clubs_2_2,clubs_2_3,clubs_2_4,clubs_2_5,clubs_2_6,clubs_2_7,clubs_2_8,clubs_2_9,clubs_2_10,clubs_2_11,clubs_2_12,clubs_2_13,clubs_2_14,clubs_2_15,clubs_2_16,clubs_2_17,clubs_2_18,clubs_2_19,clubs_2_20,clubs_3_1,clubs_3_2,clubs_3_3,clubs_3_4,clubs_3_5,clubs_3_6,clubs_3_7,clubs_3_8,clubs_3_9,clubs_3_10,clubs_3_11,clubs_3_12,clubs_3_13,clubs_3_14,clubs_3_15,clubs_3_16,clubs_3_17,clubs_3_18,clubs_3_19,clubs_3_20,clubs_4_1,clubs_4_2,clubs_4_3,clubs_4_4,clubs_4_5,clubs_4_6,clubs_4_7,clubs_4_8,clubs_4_9,clubs_4_10,clubs_4_11,clubs_4_12,clubs_4_13,clubs_4_14,clubs_4_15,clubs_4_16,clubs_4_17,clubs_4_18,clubs_4_19,clubs_4_20,clubs_5_1,clubs_5_2,clubs_5_3,clubs_5_4,clubs_5_5,clubs_5_6,clubs_5_7,clubs_5_8,clubs_5_9,clubs_5_10,clubs_5_11,clubs_5_12,clubs_5_13,clubs_5_14,campus_number
1,R_7EpaLBAymntdBnK,2,6,507,508,7:30,7:30,7:30,15:00,15:00,15:00,2,1,1,1,2,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,253
1,R_6ARncj6s632JVJd,1,1,415,416,6:30,8:00,8:00,16:00,16:00,17:30,1,1,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-99,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,"1,2",-99,-99,-99,-99,-99,-99,-99,-99,"2,4",3,-99,-99,-99,-99,-99,-99,-99,-99,-99,4,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,3,-99,2,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,382
1,R_6cj6VImr3HLLya0,1,24,237,238,7:00,7:30,7:30,15:00,15:00,18:00,2,2,2,2,2,2,2,4,2,2,1,1,2,1,2,2,2,1,2,1,2,2,2,2,2,2,2,1,1,2,1,1,2,2,2,2,2,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,1,-99,-99,-99,-99,-99,-99,-99,1,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,"1,2,3",-99,-99,-99,-99,-99,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,1,-99,-99,-99,-99,-99,-99,-99,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,1,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,456
1,R_3Iegv1slxeMH13r,2,6,75,76,,,,,,,2,2,1,2,2,2,2,4,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-99,-99,-99,-99,-99,-99,-99,1,-99,-99,-99,-99,2,3,-99,-99,-99,-99,3,-99,3,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,2,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,275
1,R_1goTybA6J9VGqjv,1,24,159,160,7:25,15:00,7:30,15:00,15:00,19:00,2,1,1,1,1,2,1,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,-99,-99,-99,-99,-99,-99,-99,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,5,-99,-99,-99,5,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,352
1,R_5aufR146BysQODD,1,9,225,226,6:45,7:15,7:30,15:15,15:15,18:00,1,1,2,1,2,2,2,5,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,-99,-99,-99,1,-99,-99,-99,-99,-99,-99,-99,1,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,5,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,170
1,R_6QVRXOW8km1Vmog,1,1,27,28,6:30,7:30,7:30,15:00,15:00,18:15,2,2,1,1,2,1,1,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-99,-99,-99,2,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,5,3,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,1,-99,-99,1,-99,-99,2,1,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,-99,1,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,1,2,108
1,R_5OHf0UYUoItRkug,2,1,543,544,7:15,7:30,7:30,15:00,15:00,17:00,2,2,1,2,1,1,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,127
1,R_6z07ZX4HNhcz9FD,1,24,537,538,6:30,8:00,8:30,16:30,16:30,17:30,2,2,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,-99,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-99,1,-99,1,-99,-99,-99,-99,-99,1,-99,-99,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,"2,4",4,-99,2,-99,"2,4",-99,-99,-99,-99,"2,4",4,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,2,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,1,1,-99,-99,-99,-99,-99,-99,-99,-99,1,-99,-99,-99,-99,-99,1,-99,-99,-99,-99,1,-99,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,1,-99,-99,-99,-99,-99,-99,-99,-99,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,82
1,R_6qdOix9JVEaPReX,1,24,129,130,,,,,,,2,1,1,1,1,2,1,5,2,2,2,2,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,2,2,"2,3",-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-99,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,115
